id,notes,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
162065,no address provided,2121,No_Match,,,,,,23460,2000,2438.1,25460,21-Apr,4/5/2021,,15000,,,15000
162068,,2132,Match,Non_Exact,25,25,130406,1001,3873,0,1353,3873,September-21; October-21; November-21,,338.04,5790,,,6128.04
162069,,2136,Match,Exact,25,25,140201,2003,0,0,1998,0,May-21; June-21; July-21; August-21; September-21,,547.98,,8171,,8718.98
162071,,2136,Match,Non_Exact,25,25,81900,1010,15000,0,0,15000,February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/17/2021,,,15000,,15000
162072,,2136,Match,Non_Exact,25,25,30400,3003,0,0,624,0,August-21; September-21; October-21; November-21; December-21,9/20/2021,639.26,4800,3200,,8639.26
162073,,2126,Match,Non_Exact,25,25,40600,1019,1410,0,1871.34,1410,October-21; November-21; December-21,8/31/2021,,4230,2820,,7050
162075,,2130,Match,Non_Exact,25,25,140201,2008,5000,0,1392,5000,June-21; July-21; August-21; September-21,,,,7106,,7106
162076,,2121,Match,Non_Exact,25,25,51101,2003,1000,0,330,1000,,9/1/2021,653.51,2550,8500,,11703.51
162077,,2126,Match,Non_Exact,25,25,140105,2004,1800,0,0,1800,June-21; July-21; August-21; September-21; October-21; November-21,8/24/2021,581.94,5400,3600,,9581.94
162083,,2116,Match,Non_Exact,25,25,101101,1002,700,0,0,700,,8/20/2021,1500,,,,1500
162084,,2122,Match,Non_Exact,25,25,92000,2005,3080,0,104,3080,,8/20/2021,,6000,3750,,9750
162086,,2126,Match,Non_Exact,25,25,91900,3000,1823.4,0,0,1823.4,September-21; October-21; November-21,8/17/2021,,747,1823,,2570
162087,,2126,No_Match,,,,101101,3002,7100,0,0,7100,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/6/2021,424.57,1778,9992,,12194.57
162089,,2130,Match,Non_Exact,25,25,10702,3005,0,0,1516,0,September-21; October-21; November-21; December-21,8/19/2021,,3760,,4500,8260
162140,,2126,No_Match,,,,981100,3005,3150,0,1248,3150,September-21; October-21; November-21,8/11/2021,,7350,3150,,10500
162144,,2124,Match,Non_Exact,25,25,120500,2002,0,0,0,0,,8/12/2021,,,1233.44,,1233.44
162146,,2119,Match,Non_Exact,25,25,140400,5006,4400,0,3368,4400,September-20; October-20; November-20; December-20,9/6/2021,,3760,2400,2400,8560
162147,,2119,Match,Non_Exact,25,25,202,2000,4000,0,0,4000,April-21; May-21; June-21; July-21; August-21; September-21,9/14/2021,,,8100,,8100
162148,,2122,Match,Non_Exact,25,25,101102,2007,4000,0,1285,4000,October-21; November-21; December-21,9/2/2021,,4705,,4705,9410
162150,,2131,Match,Non_Exact,25,25,603,1000,6000,0,1023,6000,June-20; July-20; August-20; September-20,9/2/2021,,0,6022.17,,6022.17
162153,,2125,No_Match,,,,91001,4000,3204,0,0,3204,September-21; October-21; November-21,8/10/2021,,4686,3238.22,,7924.22
162156,,2128,Match,Non_Exact,25,25,91700,2001,2550,0,1763,2550,September-21; October-21; November-21,8/17/2021,,0,2550,,2550
162158,,2121,Match,Non_Exact,25,25,101102,2007,10200,0,2156,10200,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/18/2021,498.58,,11671,,12169.58
162159,,2120,Match,Non_Exact,25,25,110401,1000,0,0,0,0,September-21; October-21; November-21,,,2022,,,2696
162160,,2124,Match,Non_Exact,25,25,110502,2004,468,0,540,468,June-21; July-21; August-21; September-21,9/3/2021,,,200,,200
162162,,2121,Match,Non_Exact,25,25,81800,1003,12295,0,0,12295,September-21; October-21,,,14700,12295,,26995
162164,,2135,Match,Non_Exact,25,25,81302,1001,1545,0,0,1545,October-21; November-21; December-21,9/2/2021,,0,5880,,5880
162168,,2136,Match,Non_Exact,25,25,80500,2006,900,0,0,900,September-21; October-21; November-21,,,4701,900,,5601
162170,,2126,Match,Non_Exact,25,25,10801,3002,4400,0,3500,4400,July-21; August-21; September-21; October-21; November-21,8/23/2021,,6600,4400,,11000
162172,,2128,No_Match,,,,51200,1002,4880,0,4000,4880,June-21; July-21,9/24/2021,845.88,,5244.88,,6090.76
162173,,2131,Match,Non_Exact,25,25,506,1007,0,0,0,0,September-21; October-21; November-21,8/10/2021,,6510,,,6510
162174,,2130,No_Match,,,,120301,1001,5400,0,0,5400,September-21; October-21; November-21,,774.63,11274.63,5400,,17449.26
162179,,2124,Match,Non_Exact,25,25,202,2000,5600,0,0,5600,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/26/2021,,4050,10800,,14850
162180,,2136,Match,Non_Exact,25,25,101102,4004,800,0,800,800,July-21; August-21; September-21,9/1/2021,,300,800,,1100
162184,,2119,Match,Non_Exact,25,25,91100,5003,5100,0,1332,5100,May-21; June-21; July-21; August-21; September-21,9/10/2021,254.8,,8500,,8754.8
162185,,2125,Match,Non_Exact,25,25,101102,3000,2100,0,1178,2100,May-21; June-21; July-21; August-21; September-21,9/21/2021,,,3500,,3500
162187,,2215,Match,Non_Exact,25,25,90600,1010,11475,1786.22,2000,13261.22,,8/17/2021,1500,,11475,,12975
162259,,2127,No_Match,,,,60700,1005,654,2434.46,794,3088.46,June-21; July-21; August-21; September-21; October-21; November-21,8/13/2021,2435.01,1308,654,0,4397.01
162262,,2121,Match,Non_Exact,25,25,101102,4004,9600,0,1900,9600,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,9/14/2021,,578,14422,,15000
162265,,2119,Match,Exact,25,25,81800,3003,2662,0,0,2662,20-Mar,8/26/2021,,,4033,,4033
162266,,2125,Match,Exact,25,25,90700,4012,1697.09,0,0,1697.09,October-21; November-21; December-21,,,4602,4339,,8941
162268,,2215,Match,Exact,25,25,10204,1001,0,0,2482,0,January-21; October-21; November-21; December-21,9/17/2021,,5250,,3500,8750
162269,,2124,Match,Non_Exact,25,25,70402,1010,1488,1060,2400,2548,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/10/2021,1379.41,3375,5687.77,,10442.18
162270,,2126,Match,Non_Exact,25,25,100601,4008,2448,0,375,2448,August-20; September-20,10/22/2020,,,4000,,4000
162271,,2126,Match,Non_Exact,25,25,110502,1006,0,0,0,0,June-21; July-21; August-21; September-21,9/6/2021,95.98,,4220,,9451.39
162275,,2121,Match,Non_Exact,25,25,100800,4011,0,0,217273,0,April-21; May-21; June-21; July-21; August-21; September-21; October-21,5/18/2021,,,6672,,11307
162276,,2124,Match,Non_Exact,25,25,82100,3004,1570,0,1048,1570,October-21; November-21; December-21,,1500,4710,1570,,7780
162277,,2109,Match,Non_Exact,25,25,82100,2002,3000,0,0,3000,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/23/2021,365.13,2100,4400,,6865.13
162281,,2121,Match,Non_Exact,25,25,81302,2005,0,0,0,0,September-21; October-21; November-21,,,5061,,,5061
162290,,2125,Match,Non_Exact,25,25,100100,5001,0,0,388,6438,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/10/2021,929.53,7200,4800,,12929.53
162291,multiple possible matches across multiple zipcodes ,2125,Tie,,,,,,1850,0,0,1850,October-21; November-21; December-21,,465.8,5550,1850,,7865.8
162297,,2131,Match,Non_Exact,25,25,90200,3002,0,464.72,1896,464.72,October-21; November-21; December-21,,464.72,2541,3388,,6393.72
162302,,2124,Match,Non_Exact,25,25,91500,3002,5000,0,4940,5000,April-21; May-21; June-21,4/30/2021,,7500,,,7500
162311,,2130,Match,Exact,25,25,120201,2003,650,0,0,650,October-21; November-21,9/2/2021,,,1950,,1950
162319,,2119,Match,Non_Exact,25,25,92200,2007,6000,0,794,6000,,9/9/2021,,4500,6000,,10500
162327,,2125,Tie,,,,91001,1001,7350,0,3000,7350,May-21; June-21; July-21; August-21,8/24/2021,1186.74,0,7400,,14086.74
162328,,2126,No_Match,,,,101102,2009,6400,0,3200,6400,July-21; August-21; September-21; October-21; November-21; December-21,9/14/2021,1500,1105,5000,,7605
162351,,2124,Match,Non_Exact,25,25,51101,1008,0,650,1228,650,June-21; July-21; August-21; September-21,9/14/2021,243.23,,7200,,7443.23
162397,,2130,Match,Non_Exact,25,25,601,2005,,0,960,0,October-21; November-21; December-21,8/31/2021,,2590.56,2301,,4891.56
162401,,2136,Match,Non_Exact,25,25,90700,4012,,1100,3000,1100,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,9/6/2021,975.03,,12887,,13862.03
162406,,2121,Match,Non_Exact,25,25,130406,2013,,215,500,215,June-21; July-21; August-21; September-21,,215.79,,5392,,5607.79
162407,,2124,Match,Non_Exact,25,25,91500,3002,,569,3000,569,July-21; August-21; September-21,8/24/2021,569,2500,5000,,8069
162441,,2121,Match,Non_Exact,25,25,101102,2006,10000,2300,765.4,20300,September-21; October-21,8/17/2021,1000,4000,10000,,15000
162442,,2121,Match,Non_Exact,25,25,91900,4003,3747,75,794,3822,September-21; October-21; November-21,8/17/2021,,1650,3747,,5397
162447,,2124,Match,Non_Exact,25,25,81200,2000,0,1276,0,1276,July-21; August-21; September-21; October-21; November-21; December-21,9/24/2021,1259.82,4194.31,4136.31,,9590.44
162457,,2116,Match,Non_Exact,25,25,81700,2002,,6200,3000,6200,June-21; July-21; August-21; September-21; October-21; November-21,8/23/2021,1886.61,,5400,,7286.61
162481,,2119,Match,Exact,25,25,81700,3008,6600,0,1700,6600,August-21; September-21,9/1/2021,,3113,,545,12774
162483,,2121,Match,Non_Exact,25,25,80601,1001,,0,1566,0,October-21; November-21; December-21,,,6000,,6000,12000
162538,,2128,Match,Non_Exact,25,25,60603,1005,3147,0,0,3147,April-20; May-20; June-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21,,,,13600,,13600
162539,,2128,Match,Non_Exact,25,25,91300,2006,,0,700,0,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/30/2021,,1044,2087,,3131
162559,,2119,Match,Non_Exact,25,25,120700,2002,1800,0,0,1800,April-21; May-21,8/12/2021,,15000,13960.8,,28960.8
162561,,2136,Match,Non_Exact,25,25,91300,1008,979,0,3226,979,April-21; May-21; June-21; July-21,9/1/2021,,,6228,,6228
162585,,2124,Match,Non_Exact,25,25,50200,2004,15000,675,2984,15675,March-21; April-21; May-21; June-21; July-21; August-21; September-21,,,,15000,,15000
162586,,2131,Match,Non_Exact,25,25,81001,2003,2665.9,605.53,880,5803.43,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/24/2021,691.69,1266,2665.9,,4623.59
162588,,2121,No_Match,,,,90200,3001,10812.54,0,2300,10812.54,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,8/10/2021,,2049,10812,,12861
162589,,2121,Match,Non_Exact,25,25,51000,1024,2600,0,1920,2600,March-21; April-21; May-21; June-21; July-21,9/2/2021,,,13000,,13000
162590,,2128,Match,Non_Exact,25,25,90700,1008,2100,0,480,6300,June-21; July-21; August-21; September-21; October-21; November-21,9/8/2021,0,2100,2100,,4200
162591,,2134,Match,Non_Exact,25,25,100500,4006,1428,4000,2564,5428,,,1130.57,,,,1130.57
162592,,2126,Match,Exact,25,25,140400,5009,3500,0,2000,3500,February-21; March-21; April-21; May-21; June-21,9/8/2021,,4650,8450,,13100
162596,,2136,Match,Exact,25,25,140107,2001,5400,0,1186,5400,July-20; March-21; May-21; June-21; August-21; September-21; October-21,7/28/2021,,5400,7200,,15000
162598,,2130,Match,Non_Exact,25,25,81400,3008,9000,0,61614,9000,April-20; May-20; June-20; July-20; August-20; September-20; August-21; September-21; October-21,,,14200,,,14200
162600,,2124,Match,Non_Exact,25,25,603,1000,9855,0,4163,15678.3,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/16/2021,,4785,9855,,14640
162601,,2136,Match,Non_Exact,25,25,81900,2004,9478,0,952,9478,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/30/2021,,2655,10363,,15000
162602,,2125,No_Match,,,,91100,3004,1700,0,3000,1700,April-21; May-21; June-21; July-21; August-21; September-21,,,5400,3500,,8900
162603,,2124,Match,Non_Exact,25,25,30400,1004,1300,0,2523,1300,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,8/2/2021,,,1,,1
162606,,2124,Match,Exact,25,25,100500,3000,4996,2634.21,1272,7630.21,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/2021,1500,2163,5719,,9382
162607,,2135,Match,Non_Exact,25,25,80401,2008,1140,365.93,540,1505.93,July-21; August-21; September-21; October-21; November-21,,155.06,2235,1490,,3880.06
162609,,2135,Match,Non_Exact,25,25,61201,1007,6800,2924.51,0,9724.51,June-21; July-21; August-21; September-21,7/29/2021,1400,10000,3400,,14800
162610,,2124,Match,Non_Exact,25,25,110105,1015,1692,3256,652,4948,July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/9/2021,,,864,,864
162611,,2118,Match,Non_Exact,25,25,81001,4003,3855,4582.56,3600,8437.56,May-21; June-21; July-21,8/25/2021,,10415,,,10415
162614,,2119,Match,Non_Exact,25,25,120201,2015,9075,0,560,9075,September-20; October-20; November-20; December-20; January-21; February-21; March-21; May-21; June-21,8/10/2021,,,10476,,10476
162615,,2135,Match,Exact,25,25,302,1001,11839.99,0,0,11839.99,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,8/17/2021,,,15000,,15000
162616,,2125,Match,Exact,25,25,91300,2008,3639.35,244.01,894,11683.36,May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/2021,244.01,3900,3639.35,,7783.36
162617,,2124,Match,Non_Exact,25,25,101102,2007,7200,3603.78,2800,10803.78,April-20; May-20; June-20,9/6/2021,,7800,7200,,15000
162618,,2124,Match,Exact,25,25,100500,5008,13200,2850,3334.62,16050,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/27/2021,,,14450,,14450
162619,,2125,Match,Non_Exact,25,25,91600,1004,4600,4120,4024,8720,June-21; July-21; August-21; September-21; October-21; November-21,9/11/2021,1500,6900,5700,,14100
162620,,2118,Match,Non_Exact,25,25,81800,2002,15000,0,2160,15000,May-20; June-20; July-20; August-20; September-20; October-20; November-20; January-21; March-21; April-21; May-21; June-21,,,0,15000,,15000
162632,,2125,Match,Non_Exact,25,25,60604,2010,3279,679.79,1176,12016.79,June-21; July-21; August-21; September-21; October-21,8/17/2021,679.79,2686,3279,,6644.79
162647,,2124,Match,Non_Exact,25,25,91100,3006,4450,1500,2300,5950,February-21; March-21; April-21; May-21; June-21,9/8/2021,,5100,8850,,13950
162650,,2126,Match,Non_Exact,25,25,120600,1000,3200,0,0,3200,June-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,,,2100,4900,,7000
162651,,2118,Match,Non_Exact,25,25,91300,2006,1640,5625.77,1140,7265.77,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,7/29/2021,1500,2538,2072,,6110
162654,,2122,No_Match,,,,92101,2004,9000,2267.66,1600,11267.66,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,8/19/2021,651.01,5348.99,9000,,15000
162655,,2119,Match,Non_Exact,25,25,100200,3006,9000,0,5996,16803.6,September-21; October-21; November-21,,,6600,,,6600
162656,,2126,Match,Non_Exact,25,25,90400,3010,8400,2260,3200,10660,December-20; January-21; February-21; March-21; April-21; May-21; June-21; August-21; September-21; October-21; November-21,9/2/2021,,2400,10800,,13200
162658,,2122,Match,Non_Exact,25,25,101102,4005,10800,1200,1800,12000,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20,,,3600,7200,,10800
162660,,2130,Match,Non_Exact,25,25,92000,1008,3708,801.57,5000,4509.57,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/30/2021,,2856,4817.96,,7673.96
162661,,2121,No_Match,,,,81900,3000,5450,0,1200,5450,May-20; June-20; July-20; August-20; September-20,9/9/2021,,5250,5450,,10700
162663,,2136,Match,Non_Exact,25,25,51000,2010,1500,51.11,794,1551.11,March-20; October-20; April-21,8/18/2021,,5220,7246.75,,12466.75
162664,,2121,Match,Non_Exact,25,25,100800,6002,6500,1920,3200,8420,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,7/15/2021,,,8000,,8000
162665,,2121,Match,Non_Exact,25,25,140400,6001,750,0,4000,750,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,8/24/2021,,4950,1000,,5950
162667,,2121,Match,Exact,25,25,82000,3001,15885,0,326,15885,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,,,,15000,,15000
162678,,2121,Match,Non_Exact,25,25,100400,4004,,0,2584,0,August-21; September-21; October-21; November-21,8/16/2021,1500,4985,,7500,13985
162683,,2126,Match,Non_Exact,25,25,90100,3009,,1056,0,1056,June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/16/2021,1057.5,3075,4109,,8241.5
162686,,2114,Tie,,,,20302,1000,3000,300,1600,3300,April-20; May-20; June-20; July-20,8/23/2021,,,2198,,2198
162712,,2130,Match,Non_Exact,25,25,81400,3003,0,368.99,2000,368.99,May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/26/2021,,4515,3763,,8278
162740,,2124,Match,Non_Exact,25,25,60601,1000,,1300,2400,1300,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,9/1/2021,,,13569,,13569
162755,,2143,Match,Non_Exact,25,25,100400,4000,,0,2100,0,June-21; July-21; August-21; September-21,9/1/2021,,1998,7000,,8998
162769,,2129,Match,Non_Exact,25,25,81200,1009,670,0,1500,670,September-21; October-21; November-21; December-21,8/19/2021,,3000,,3000,6000
162770,,2130,Match,Non_Exact,25,25,40600,2005,0,0,2268,0,October-21; November-21; December-21,9/24/2021,,6003,,2503,8506
162771,,2109,Match,Non_Exact,25,25,60400,3008,0,0,2200,0,May-21; June-21; July-21; August-21,9/3/2021,,7200,0,,7200
162775,,2126,Match,Non_Exact,25,25,80601,3008,4662,3300,1448,7962,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,7/29/2021,1500,,,,1500
162776,,2119,Match,Non_Exact,25,25,50600,1007,6050,597.59,1400,6647.59,June-21; July-21; August-21; September-21; October-21; November-21,,377.59,6150,6050,,12577.59
162777,,2135,Match,Non_Exact,25,25,81302,1005,0,0,1600,0,21-May,7/30/2021,,5550,,,5550
162778,,2128,Match,Non_Exact,25,25,202,3010,0,0,1600,0,September-21; October-21; November-21,,,4200,0,,4200
162781,,2119,Match,Non_Exact,25,25,51000,1000,1195,150,1000,1345,October-21; November-21; December-21,,,3585,,,3585
162782,,2119,Match,Non_Exact,25,25,140400,6000,1400,640,7000,2040,September-21; October-21; November-21,,,4200,,,4200
162786,,2124,Match,Non_Exact,25,25,81700,4003,0,650,3942.91,4632,July-21; August-21; September-21,9/20/2021,,,,3982,6805
162788,,2125,Match,Non_Exact,25,25,92000,3000,350,700,1568,1050,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/16/2021,,3686,,,3686
162791,,2122,Match,Non_Exact,25,25,50101,3005,6400,107.38,1045,16299.38,May-21; June-21; July-21; August-21; September-21; October-21; November-21,,107.38,4896,6400,,11403.38
162792,,2126,No_Match,,,,101002,3000,19000,0,1775,19000,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,8/26/2021,,15000,,,15000
162797,,2130,Match,Non_Exact,25,25,110607,2014,7500,0,4568,7500,April-21; May-21; June-21; July-21,4/12/2021,,4500,1500,,12000
162798,,2124,Match,Non_Exact,25,25,91900,3000,,0,120,0,July-21; August-21; September-21; October-21; November-21,,,3750,1500,,5250
162801,,2128,Match,Exact,25,25,50200,1001,1750,0,1972,1750,May-21; June-21; July-21; August-21; September-21; October-21; November-21,,1500,5250,7000,,13750
162804,,2128,Match,Non_Exact,25,25,703,1009,,90,1800,90,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,4650,5199.88,,9849.88
162805,,2130,Match,Non_Exact,25,25,60604,1003,570,0,4000,570,August-21; September-21; October-21; November-21,,,4596,,,4596
162808,,2114,Match,Non_Exact,25,25,110607,2015,1900,5000,1846,6900,April-21; May-21; June-21; July-21; August-21,7/27/2021,,5700,3800,,9500
162811,,2130,Match,Non_Exact,25,25,92200,2000,2000,7800,900,9800,April-20; June-20; July-20,7/30/2021,,2420,428,,2848
162812,,2215,Match,Non_Exact,25,25,81101,2000,2073,356.39,1980,2429.39,March-21; April-21; May-21; June-21; July-21,5/10/2021,,6213.51,4144.34,,10357.85
162813,,2124,Match,Non_Exact,25,25,804,1004,1500,3600,7500,5100,March-21; April-21,,,2250,,,2250
162814,,2128,Match,Non_Exact,25,25,100100,3004,1650,73846.41,2691,75496.41,March-21; April-21; May-21; June-21; July-21,9/17/2021,2000,5400,5400,,12800
162816,,2122,Match,Non_Exact,25,25,101,2009,1150,0,3200,1150,June-21; July-21; August-21; September-21; October-21,7/26/2021,,2625,1150,,3775
162820,,2127,Match,Non_Exact,25,25,10205,3002,20000,809.99,200,20809.99,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,9/3/2021,1176.19,,,,1176.19
162821,,2111,Match,Non_Exact,25,25,101002,1003,27500,0,1093,27500,July-21; August-21,,,6000,2000,,8000
162825,,2134,Match,Non_Exact,25,25,110502,1013,,700,4272,700,May-21; June-21; July-21; August-21; September-21; October-21,7/21/2021,,2250,2250,,4500
162827,,2111,Match,Non_Exact,25,25,91100,5002,3450,572,1600,4022,April-21; May-21; June-21; July-21; August-21; September-21,8/3/2021,,3450,,,3450
162828,,2124,Match,Non_Exact,25,25,81200,2000,1235,345,0,1580,21-Feb,,,,598.35,,598.35
162830,,2134,Match,Non_Exact,25,25,50300,1010,1200,1889.58,1120,3089.58,May-21; June-21; July-21; August-21,9/7/2021,,3600,4800,,8400
162831,,2135,Match,Non_Exact,25,25,804,2014,7650,0,4000,7650,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,8/3/2021,,2550,,,2550
162832,,2124,Match,Exact,25,25,100400,2000,1800,2495,652,4295,April-20; May-20; June-20; July-20; August-20; September-20; October-20,,1495.22,5400,7200,,14095.22
162833,,2120,Match,Non_Exact,25,25,505,1004,3100,0,1840,3100,June-21; July-21; August-21,,,3100,4325,,7425
162834,,2125,Match,Non_Exact,25,25,100500,1005,,0,2800,0,June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/7/2021,,3450,5500,4600,13550
162835,,2116,Match,Non_Exact,25,25,90901,2001,,0,4000,0,September-21; October-21; November-21,8/18/2021,,5700,,,5700
162836,,2124,Match,Non_Exact,25,25,80100,2001,1920,534.85,1770,2454.85,January-21; February-21; March-21; April-21; May-21,8/9/2021,,1407,3327,,4734
162837,,2122,Match,Non_Exact,25,25,82100,1003,2900,1400,2200,4300,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,,1500,825,3604,,5929
162838,,2124,Match,Non_Exact,25,25,70700,1008,3201,1531.18,1000,4732.18,March-21; April-21; May-21; June-21; July-21; August-21; September-21,,938.98,7000,,,7938.98
