,id,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
57,162265,2119,Match,Exact,25.0,25.0,81800.0,3003.0,2662.0,0.0,0,2662,20-Mar,8/26/2021,0.0,0.0,4033.0,0.0,4033.0
58,162266,2125,Match,Exact,25.0,25.0,90700.0,4012.0,1697.09,0.0,0,1697.09,October-21; November-21; December-21,0,0.0,4602.0,4339.0,0.0,8941.0
59,162268,2215,Match,Exact,25.0,25.0,10204.0,1001.0,0.0,0.0,2482,0,January-21; October-21; November-21; December-21,9/17/2021,0.0,5250.0,0.0,3500.0,8750.0
60,162269,2124,Match,Non_Exact,25.0,25.0,70402.0,1010.0,1488.0,1060.0,2400,2548,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/10/2021,1379.41,3375.0,5687.77,0.0,10442.18
61,162270,2126,Match,Non_Exact,25.0,25.0,100601.0,4008.0,2448.0,0.0,375,2448,August-20; September-20,10/22/2020,0.0,0.0,4000.0,0.0,4000.0
62,162271,2126,Match,Non_Exact,25.0,25.0,110502.0,1006.0,0.0,0.0,0,0,June-21; July-21; August-21; September-21,9/6/2021,95.98,0.0,4220.0,0.0,9451.39
63,162275,2121,Match,Non_Exact,25.0,25.0,100800.0,4011.0,0.0,0.0,217273,0,April-21; May-21; June-21; July-21; August-21; September-21; October-21,5/18/2021,0.0,0.0,6672.0,0.0,11307.0
64,162276,2124,Match,Non_Exact,25.0,25.0,82100.0,3004.0,1570.0,0.0,1048,1570,October-21; November-21; December-21,0,1500.0,4710.0,1570.0,0.0,7780.0
65,162277,2109,Match,Non_Exact,25.0,25.0,82100.0,2002.0,3000.0,0.0,0,3000,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/23/2021,365.13,2100.0,4400.0,0.0,6865.13
66,162281,2121,Match,Non_Exact,25.0,25.0,81302.0,2005.0,0.0,0.0,0,0,September-21; October-21; November-21,0,0.0,5061.0,0.0,0.0,5061.0
