id,notes,original_zip,manual_match_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained ($),Future Stipend - Amount obtained ($),Rental Arrears - Amount obtained ($),Moving Costs - Amount obtained ($),Total RRF Award
161887,,2122,,Match,Non_Exact,25,25,60400,4005,"$48,620.00 ",$0.00 ,$0.00 ,"$48,620.00 ",,,,,"$15,000.00 ",,"$15,000.00 "
161889,,2119,,Match,Non_Exact,25,25,100603,2022,"$3,300.00 ",$0.00 ,"$2,000.00 ","$3,300.00 ",June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/15/21,,"$3,300.00 ","$4,400.00 ",,"$7,700.00 "
161892,,2119,,Match,Non_Exact,25,25,101001,5000,"$8,138.00 ",$0.00 ,$0.00 ,"$8,138.00 ",July-21; August-21; September-21; October-21; November-21; December-21,,,$654.00 ,"$5,475.00 ",,"$6,129.00 "
161955,,2125,,Match,Non_Exact,25,25,140400,3008,"$14,000.00 ",$0.00 ,$539.00 ,"$14,000.00 ",August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,,,,"$14,800.00 ",,"$14,800.00 "
161956,,2126,,Match,Non_Exact,25,25,81400,2011,"$10,166.00 ",$0.00 ,$0.00 ,"$10,166.00 ",April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/24/21,"$1,500.00 ",,"$10,166.00 ",,"$11,666.00 "
161960,,,2136,No_Match,,,,140400,6011,"$1,600.00 ",$904.51 ,$0.00 ,"$2,504.51 ",July-21; August-21; September-21; October-21; November-21,8/11/21,$904.51 ,"$8,000.00 ","$3,200.00 ",,"$12,104.51 "
161987,,2136,,Match,Non_Exact,25,25,91500,1007,"$14,850.00 ",$0.00 ,$0.00 ,"$14,850.00 ",,8/10/21,,,"$14,850.00 ",,"$14,850.00 "
162064,,,2122,No_Match,,,,91700,3001,"$5,600.00 ",$0.00 ,$913.00 ,"$5,600.00 ",April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/9/21,,"$4,500.00 ","$5,600.00 ",,"$10,100.00 "
162065,no address provided,2121,,No_Match,,,,,,"$23,460.00 ","$2,000.00 ","$2,438.10 ","$25,460.00 ",21-Apr,4/5/21,,"$15,000.00 ",,,"$15,000.00 "
162068,,2132,,Match,Non_Exact,25,25,130406,1001,"$3,873.00 ",$0.00 ,"$1,353.00 ","$3,873.00 ",September-21; October-21; November-21,,$338.04 ,"$5,790.00 ",,,"$6,128.04 "
162069,,2136,,Match,Exact,25,25,140201,2003,$0.00 ,$0.00 ,"$1,998.00 ",$0.00 ,May-21; June-21; July-21; August-21; September-21,,$547.98 ,,"$8,171.00 ",,"$8,718.98 "
162071,,2136,,Match,Non_Exact,25,25,81900,1010,"$15,000.00 ",$0.00 ,$0.00 ,"$15,000.00 ",February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/17/21,,,"$15,000.00 ",,"$15,000.00 "
162072,,2136,,Match,Non_Exact,25,25,30400,3003,$0.00 ,$0.00 ,$624.00 ,$0.00 ,August-21; September-21; October-21; November-21; December-21,9/20/21,$639.26 ,"$4,800.00 ","$3,200.00 ",,"$8,639.26 "
162073,,2126,,Match,Non_Exact,25,25,40600,1019,"$1,410.00 ",$0.00 ,"$1,871.34 ","$1,410.00 ",October-21; November-21; December-21,8/31/21,,"$4,230.00 ","$2,820.00 ",,"$7,050.00 "
162075,,2130,,Match,Non_Exact,25,25,140201,2008,"$5,000.00 ",$0.00 ,"$1,392.00 ","$5,000.00 ",June-21; July-21; August-21; September-21,,,,"$7,106.00 ",,"$7,106.00 "
162076,,2121,,Match,Non_Exact,25,25,51101,2003,"$1,000.00 ",$0.00 ,$330.00 ,"$1,000.00 ",,9/1/21,$653.51 ,"$2,550.00 ","$8,500.00 ",,"$11,703.51 "
162077,,2126,,Match,Non_Exact,25,25,140105,2004,"$1,800.00 ",$0.00 ,$0.00 ,"$1,800.00 ",June-21; July-21; August-21; September-21; October-21; November-21,8/24/21,$581.94 ,"$5,400.00 ","$3,600.00 ",,"$9,581.94 "
162083,,2116,,Match,Non_Exact,25,25,101101,1002,$700.00 ,$0.00 ,$0.00 ,$700.00 ,,8/20/21,"$1,500.00 ",,,,"$1,500.00 "
162084,,2122,,Match,Non_Exact,25,25,92000,2005,"$3,080.00 ",$0.00 ,$104.00 ,"$3,080.00 ",,8/20/21,,"$6,000.00 ","$3,750.00 ",,"$9,750.00 "
162086,,2126,,Match,Non_Exact,25,25,91900,3000,"$1,823.40 ",$0.00 ,$0.00 ,"$1,823.40 ",September-21; October-21; November-21,8/17/21,,$747.00 ,"$1,823.00 ",,"$2,570.00 "
162087,,,2126,No_Match,,,,101101,3002,"$7,100.00 ",$0.00 ,$0.00 ,"$7,100.00 ",February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/6/21,$424.57 ,"$1,778.00 ","$9,992.00 ",,"$12,194.57 "
162089,,2130,,Match,Non_Exact,25,25,10702,3005,$0.00 ,$0.00 ,"$1,516.00 ",$0.00 ,September-21; October-21; November-21; December-21,8/19/21,,"$3,760.00 ",,"$4,500.00 ","$8,260.00 "
162140,,,2126,No_Match,,,,981100,3005,"$3,150.00 ",$0.00 ,"$1,248.00 ","$3,150.00 ",September-21; October-21; November-21,8/11/21,,"$7,350.00 ","$3,150.00 ",,"$10,500.00 "
162144,,2124,,Match,Non_Exact,25,25,120500,2002,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,8/12/21,,,"$1,233.44 ",,"$1,233.44 "
162146,,2119,,Match,Non_Exact,25,25,140400,5006,"$4,400.00 ",$0.00 ,"$3,368.00 ","$4,400.00 ",September-20; October-20; November-20; December-20,9/6/21,,"$3,760.00 ","$2,400.00 ","$2,400.00 ","$8,560.00 "
162147,,2119,,Match,Non_Exact,25,25,202,2000,"$4,000.00 ",$0.00 ,$0.00 ,"$4,000.00 ",April-21; May-21; June-21; July-21; August-21; September-21,9/14/21,,,"$8,100.00 ",,"$8,100.00 "
162148,,2122,,Match,Non_Exact,25,25,101102,2007,"$4,000.00 ",$0.00 ,"$1,285.00 ","$4,000.00 ",October-21; November-21; December-21,9/2/21,,"$4,705.00 ",,"$4,705.00 ","$9,410.00 "
162150,,2131,,Match,Non_Exact,25,25,603,1000,"$6,000.00 ",$0.00 ,"$1,023.00 ","$6,000.00 ",June-20; July-20; August-20; September-20,9/2/21,,$0.00 ,"$6,022.17 ",,"$6,022.17 "
162153,,,2125,No_Match,,,,91001,4000,"$3,204.00 ",$0.00 ,$0.00 ,"$3,204.00 ",September-21; October-21; November-21,8/10/21,,"$4,686.00 ","$3,238.22 ",,"$7,924.22 "
162156,,2128,,Match,Non_Exact,25,25,91700,2001,"$2,550.00 ",$0.00 ,"$1,763.00 ","$2,550.00 ",September-21; October-21; November-21,8/17/21,,$0.00 ,"$2,550.00 ",,"$2,550.00 "
162158,,2121,,Match,Non_Exact,25,25,101102,2007,"$10,200.00 ",$0.00 ,"$2,156.00 ","$10,200.00 ",August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/18/21,$498.58 ,,"$11,671.00 ",,"$12,169.58 "
162159,,2120,,Match,Non_Exact,25,25,110401,1000,$0.00 ,$0.00 ,$0.00 ,$0.00 ,September-21; October-21; November-21,,,"$2,022.00 ",,,"$2,696.00 "
162160,,2124,,Match,Non_Exact,25,25,110502,2004,$468.00 ,$0.00 ,$540.00 ,$468.00 ,June-21; July-21; August-21; September-21,9/3/21,,,$200.00 ,,$200.00 
162162,,2121,,Match,Non_Exact,25,25,81800,1003,"$12,295.00 ",$0.00 ,$0.00 ,"$12,295.00 ",September-21; October-21,,,"$14,700.00 ","$12,295.00 ",,"$26,995.00 "
162164,,2135,,Match,Non_Exact,25,25,81302,1001,"$1,545.00 ",$0.00 ,$0.00 ,"$1,545.00 ",October-21; November-21; December-21,9/2/21,,$0.00 ,"$5,880.00 ",,"$5,880.00 "
162168,,2136,,Match,Non_Exact,25,25,80500,2006,$900.00 ,$0.00 ,$0.00 ,$900.00 ,September-21; October-21; November-21,,,"$4,701.00 ",$900.00 ,,"$5,601.00 "
162170,,2126,,Match,Non_Exact,25,25,10801,3002,"$4,400.00 ",$0.00 ,"$3,500.00 ","$4,400.00 ",July-21; August-21; September-21; October-21; November-21,8/23/21,,"$6,600.00 ","$4,400.00 ",,"$11,000.00 "
162172,,,2128,No_Match,,,,51200,1002,"$4,880.00 ",$0.00 ,"$4,000.00 ","$4,880.00 ",June-21; July-21,9/24/21,$845.88 ,,"$5,244.88 ",,"$6,090.76 "
162173,,2131,,Match,Non_Exact,25,25,506,1007,$0.00 ,$0.00 ,$0.00 ,$0.00 ,September-21; October-21; November-21,8/10/21,,"$6,510.00 ",,,"$6,510.00 "
162174,,,2130,No_Match,,,,120301,1001,"$5,400.00 ",$0.00 ,$0.00 ,"$5,400.00 ",September-21; October-21; November-21,,$774.63 ,"$11,274.63 ","$5,400.00 ",,"$17,449.26 "
162179,,2124,,Match,Non_Exact,25,25,202,2000,"$5,600.00 ",$0.00 ,$0.00 ,"$5,600.00 ",February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/26/21,,"$4,050.00 ","$10,800.00 ",,"$14,850.00 "
162180,,2136,,Match,Non_Exact,25,25,101102,4004,$800.00 ,$0.00 ,$800.00 ,$800.00 ,July-21; August-21; September-21,9/1/21,,$300.00 ,$800.00 ,,"$1,100.00 "
162184,,2119,,Match,Non_Exact,25,25,91100,5003,"$5,100.00 ",$0.00 ,"$1,332.00 ","$5,100.00 ",May-21; June-21; July-21; August-21; September-21,9/10/21,$254.80 ,,"$8,500.00 ",,"$8,754.80 "
162185,,2125,,Match,Non_Exact,25,25,101102,3000,"$2,100.00 ",$0.00 ,"$1,178.00 ","$2,100.00 ",May-21; June-21; July-21; August-21; September-21,9/21/21,,,"$3,500.00 ",,"$3,500.00 "
162187,,2215,,Match,Non_Exact,25,25,90600,1010,"$11,475.00 ","$1,786.22 ","$2,000.00 ","$13,261.22 ",,8/17/21,"$1,500.00 ",,"$11,475.00 ",,"$12,975.00 "
162259,,,2127,No_Match,,,,60700,1005,$654.00 ,"$2,434.46 ",$794.00 ,"$3,088.46 ",June-21; July-21; August-21; September-21; October-21; November-21,8/13/21,"$2,435.01 ","$1,308.00 ",$654.00 ,$0.00 ,"$4,397.01 "
162262,,2121,,Match,Non_Exact,25,25,101102,4004,"$9,600.00 ",$0.00 ,"$1,900.00 ","$9,600.00 ",December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,9/14/21,,$578.00 ,"$14,422.00 ",,"$15,000.00 "
162265,,2119,,Match,Exact,25,25,81800,3003,"$2,662.00 ",$0.00 ,$0.00 ,"$2,662.00 ",20-Mar,8/26/21,,,"$4,033.00 ",,"$4,033.00 "
162266,,2125,,Match,Exact,25,25,90700,4012,"$1,697.09 ",$0.00 ,$0.00 ,"$1,697.09 ",October-21; November-21; December-21,,,"$4,602.00 ","$4,339.00 ",,"$8,941.00 "
162268,,2215,,Match,Exact,25,25,10204,1001,$0.00 ,$0.00 ,"$2,482.00 ",$0.00 ,January-21; October-21; November-21; December-21,9/17/21,,"$5,250.00 ",,"$3,500.00 ","$8,750.00 "
162269,,2124,,Match,Non_Exact,25,25,70402,1010,"$1,488.00 ","$1,060.00 ","$2,400.00 ","$2,548.00 ",April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/10/21,"$1,379.41 ","$3,375.00 ","$5,687.77 ",,"$10,442.18 "
162270,,2126,,Match,Non_Exact,25,25,100601,4008,"$2,448.00 ",$0.00 ,$375.00 ,"$2,448.00 ",August-20; September-20,10/22/20,,,"$4,000.00 ",,"$4,000.00 "
162271,,2126,,Match,Non_Exact,25,25,110502,1006,$0.00 ,$0.00 ,$0.00 ,$0.00 ,June-21; July-21; August-21; September-21,9/6/21,$95.98 ,,"$4,220.00 ",,"$9,451.39 "
162275,,2121,,Match,Non_Exact,25,25,100800,4011,$0.00 ,$0.00 ,"$217,273.00 ",$0.00 ,April-21; May-21; June-21; July-21; August-21; September-21; October-21,5/18/21,,,"$6,672.00 ",,"$11,307.00 "
162276,,2124,,Match,Non_Exact,25,25,82100,3004,"$1,570.00 ",$0.00 ,"$1,048.00 ","$1,570.00 ",October-21; November-21; December-21,,"$1,500.00 ","$4,710.00 ","$1,570.00 ",,"$7,780.00 "
162277,,2109,,Match,Non_Exact,25,25,82100,2002,"$3,000.00 ",$0.00 ,$0.00 ,"$3,000.00 ",February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/23/21,$365.13 ,"$2,100.00 ","$4,400.00 ",,"$6,865.13 "
162281,,2121,,Match,Non_Exact,25,25,81302,2005,$0.00 ,$0.00 ,$0.00 ,$0.00 ,September-21; October-21; November-21,,,"$5,061.00 ",,,"$5,061.00 "
162290,,2125,,Match,Non_Exact,25,25,100100,5001,$0.00 ,$0.00 ,$388.00 ,"$6,438.00 ",March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/10/21,$929.53 ,"$7,200.00 ","$4,800.00 ",,"$12,929.53 "
162291,multiple possible matches across multiple zipcodes ,2125,,Tie,,,,,,"$1,850.00 ",$0.00 ,$0.00 ,"$1,850.00 ",October-21; November-21; December-21,,$465.80 ,"$5,550.00 ","$1,850.00 ",,"$7,865.80 "
162297,,2131,,Match,Non_Exact,25,25,90200,3002,$0.00 ,$464.72 ,"$1,896.00 ",$464.72 ,October-21; November-21; December-21,,$464.72 ,"$2,541.00 ","$3,388.00 ",,"$6,393.72 "
162302,,2124,,Match,Non_Exact,25,25,91500,3002,"$5,000.00 ",$0.00 ,"$4,940.00 ","$5,000.00 ",April-21; May-21; June-21,4/30/21,,"$7,500.00 ",,,"$7,500.00 "
162311,,2130,,Match,Exact,25,25,120201,2003,$650.00 ,$0.00 ,$0.00 ,$650.00 ,October-21; November-21,9/2/21,,,"$1,950.00 ",,"$1,950.00 "
162319,,2119,,Match,Non_Exact,25,25,92200,2007,"$6,000.00 ",$0.00 ,$794.00 ,"$6,000.00 ",,9/9/21,,"$4,500.00 ","$6,000.00 ",,"$10,500.00 "
162326,no address provided,,Dorchester,No_Match,,,,,,$0.00 ,$0.00 ,$998.00 ,$0.00 ,May-21; June-21; July-21; August-21,8/26/21,$649.51 ,,,,$649.51 
162327,,,2125,Tie,,,,91001,1001,"$7,350.00 ",$0.00 ,"$3,000.00 ","$7,350.00 ",May-21; June-21; July-21; August-21,8/24/21,"$1,186.74 ",$0.00 ,"$7,400.00 ",,"$14,086.74 "
162328,,,2126,No_Match,,,,101102,2009,"$6,400.00 ",$0.00 ,"$3,200.00 ","$6,400.00 ",July-21; August-21; September-21; October-21; November-21; December-21,9/14/21,"$1,500.00 ","$1,105.00 ","$5,000.00 ",,"$7,605.00 "
162351,,2124,,Match,Non_Exact,25,25,51101,1008,$0.00 ,$650.00 ,"$1,228.00 ",$650.00 ,June-21; July-21; August-21; September-21,9/14/21,$243.23 ,,"$7,200.00 ",,"$7,443.23 "
162397,,2130,,Match,Non_Exact,25,25,601,2005,,$0.00 ,$960.00 ,$0.00 ,October-21; November-21; December-21,8/31/21,,"$2,590.56 ","$2,301.00 ",,"$4,891.56 "
162401,,2136,,Match,Non_Exact,25,25,90700,4012,,"$1,100.00 ","$3,000.00 ","$1,100.00 ",January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,9/6/21,$975.03 ,,"$12,887.00 ",,"$13,862.03 "
162406,,2121,,Match,Non_Exact,25,25,130406,2013,,$215.00 ,$500.00 ,$215.00 ,June-21; July-21; August-21; September-21,,$215.79 ,,"$5,392.00 ",,"$5,607.79 "
162407,,2124,,Match,Non_Exact,25,25,91500,3002,,$569.00 ,"$3,000.00 ",$569.00 ,July-21; August-21; September-21,8/24/21,$569.00 ,"$2,500.00 ","$5,000.00 ",,"$8,069.00 "
162441,,2121,,Match,Non_Exact,25,25,101102,2006,"$10,000.00 ","$2,300.00 ",$765.40 ,"$20,300.00 ",September-21; October-21,8/17/21,"$1,000.00 ","$4,000.00 ","$10,000.00 ",,"$15,000.00 "
162442,,2121,,Match,Non_Exact,25,25,91900,4003,"$3,747.00 ",$75.00 ,$794.00 ,"$3,822.00 ",September-21; October-21; November-21,8/17/21,,"$1,650.00 ","$3,747.00 ",,"$5,397.00 "
162447,,2124,,Match,Non_Exact,25,25,81200,2000,$0.00 ,"$1,276.00 ",$0.00 ,"$1,276.00 ",July-21; August-21; September-21; October-21; November-21; December-21,9/24/21,"$1,259.82 ","$4,194.31 ","$4,136.31 ",,"$9,590.44 "
162457,,2116,,Match,Non_Exact,25,25,81700,2002,,"$6,200.00 ","$3,000.00 ","$6,200.00 ",June-21; July-21; August-21; September-21; October-21; November-21,8/23/21,"$1,886.61 ",,"$5,400.00 ",,"$7,286.61 "
162481,,2119,,Match,Exact,25,25,81700,3008,"$6,600.00 ",$0.00 ,"$1,700.00 ","$6,600.00 ",August-21; September-21,9/1/21,,"$3,113.00 ",,$545.00 ,"$12,774.00 "
162483,,2121,,Match,Non_Exact,25,25,80601,1001,,$0.00 ,"$1,566.00 ",$0.00 ,October-21; November-21; December-21,,,"$6,000.00 ",,"$6,000.00 ","$12,000.00 "
162538,,2128,,Match,Non_Exact,25,25,60603,1005,"$3,147.00 ",$0.00 ,$0.00 ,"$3,147.00 ",April-20; May-20; June-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21,,,,"$13,600.00 ",,"$13,600.00 "
162539,,2128,,Match,Non_Exact,25,25,91300,2006,,$0.00 ,$700.00 ,$0.00 ,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/30/21,,"$1,044.00 ","$2,087.00 ",,"$3,131.00 "
162559,,2119,,Match,Non_Exact,25,25,120700,2002,"$1,800.00 ",$0.00 ,$0.00 ,"$1,800.00 ",April-21; May-21,8/12/21,,"$15,000.00 ","$13,960.80 ",,"$28,960.80 "
162561,,2136,,Match,Non_Exact,25,25,91300,1008,$979.00 ,$0.00 ,"$3,226.00 ",$979.00 ,April-21; May-21; June-21; July-21,9/1/21,,,"$6,228.00 ",,"$6,228.00 "
162585,,2124,,Match,Non_Exact,25,25,50200,2004,"$15,000.00 ",$675.00 ,"$2,984.00 ","$15,675.00 ",March-21; April-21; May-21; June-21; July-21; August-21; September-21,,,,"$15,000.00 ",,"$15,000.00 "
162586,,2131,,Match,Non_Exact,25,25,81001,2003,"$2,665.90 ",$605.53 ,$880.00 ,"$5,803.43 ",February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/24/21,$691.69 ,"$1,266.00 ","$2,665.90 ",,"$4,623.59 "
162588,,,2121,No_Match,,,,90200,3001,"$10,812.54 ",$0.00 ,"$2,300.00 ","$10,812.54 ",March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,8/10/21,,"$2,049.00 ","$10,812.00 ",,"$12,861.00 "
162589,,2121,,Match,Non_Exact,25,25,51000,1024,"$2,600.00 ",$0.00 ,"$1,920.00 ","$2,600.00 ",March-21; April-21; May-21; June-21; July-21,9/2/21,,,"$13,000.00 ",,"$13,000.00 "
162590,,2128,,Match,Non_Exact,25,25,90700,1008,"$2,100.00 ",$0.00 ,$480.00 ,"$6,300.00 ",June-21; July-21; August-21; September-21; October-21; November-21,9/8/21,$0.00 ,"$2,100.00 ","$2,100.00 ",,"$4,200.00 "
162591,,2134,,Match,Non_Exact,25,25,100500,4006,"$1,428.00 ","$4,000.00 ","$2,564.00 ","$5,428.00 ",,,"$1,130.57 ",,,,"$1,130.57 "
162592,,2126,,Match,Exact,25,25,140400,5009,"$3,500.00 ",$0.00 ,"$2,000.00 ","$3,500.00 ",February-21; March-21; April-21; May-21; June-21,9/8/21,,"$4,650.00 ","$8,450.00 ",,"$13,100.00 "
162596,,2136,,Match,Exact,25,25,140107,2001,"$5,400.00 ",$0.00 ,"$1,186.00 ","$5,400.00 ",July-20; March-21; May-21; June-21; August-21; September-21; October-21,7/28/21,,"$5,400.00 ","$7,200.00 ",,"$15,000.00 "
162598,,2130,,Match,Non_Exact,25,25,81400,3008,"$9,000.00 ",$0.00 ,"$61,614.00 ","$9,000.00 ",April-20; May-20; June-20; July-20; August-20; September-20; August-21; September-21; October-21,,,"$14,200.00 ",,,"$14,200.00 "
162600,,2124,,Match,Non_Exact,25,25,603,1000,"$9,855.00 ",$0.00 ,"$4,163.00 ","$15,678.30 ",March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/16/21,,"$4,785.00 ","$9,855.00 ",,"$14,640.00 "
162601,,2136,,Match,Non_Exact,25,25,81900,2004,"$9,478.00 ",$0.00 ,$952.00 ,"$9,478.00 ",March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/30/21,,"$2,655.00 ","$10,363.00 ",,"$15,000.00 "
162602,,,2125,No_Match,,,,91100,3004,"$1,700.00 ",$0.00 ,"$3,000.00 ","$1,700.00 ",April-21; May-21; June-21; July-21; August-21; September-21,,,"$5,400.00 ","$3,500.00 ",,"$8,900.00 "
162603,,2124,,Match,Non_Exact,25,25,30400,1004,"$1,300.00 ",$0.00 ,"$2,523.00 ","$1,300.00 ",August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,8/2/21,,,$1.00 ,,$1.00 
162606,,2124,,Match,Exact,25,25,100500,3000,"$4,996.00 ","$2,634.21 ","$1,272.00 ","$7,630.21 ",March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/21,"$1,500.00 ","$2,163.00 ","$5,719.00 ",,"$9,382.00 "
162607,,2135,,Match,Non_Exact,25,25,80401,2008,"$1,140.00 ",$365.93 ,$540.00 ,"$1,505.93 ",July-21; August-21; September-21; October-21; November-21,,$155.06 ,"$2,235.00 ","$1,490.00 ",,"$3,880.06 "
162609,,2135,,Match,Non_Exact,25,25,61201,1007,"$6,800.00 ","$2,924.51 ",$0.00 ,"$9,724.51 ",June-21; July-21; August-21; September-21,7/29/21,"$1,400.00 ","$10,000.00 ","$3,400.00 ",,"$14,800.00 "
162610,,2124,,Match,Non_Exact,25,25,110105,1015,"$1,692.00 ","$3,256.00 ",$652.00 ,"$4,948.00 ",July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/9/21,,,$864.00 ,,$864.00 
162611,,2118,,Match,Non_Exact,25,25,81001,4003,"$3,855.00 ","$4,582.56 ","$3,600.00 ","$8,437.56 ",May-21; June-21; July-21,8/25/21,,"$10,415.00 ",,,"$10,415.00 "
162614,,2119,,Match,Non_Exact,25,25,120201,2015,"$9,075.00 ",$0.00 ,$560.00 ,"$9,075.00 ",September-20; October-20; November-20; December-20; January-21; February-21; March-21; May-21; June-21,8/10/21,,,"$10,476.00 ",,"$10,476.00 "
162615,,2135,,Match,Exact,25,25,302,1001,"$11,839.99 ",$0.00 ,$0.00 ,"$11,839.99 ",June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,8/17/21,,,"$15,000.00 ",,"$15,000.00 "
162616,,2125,,Match,Exact,25,25,91300,2008,"$3,639.35 ",$244.01 ,$894.00 ,"$11,683.36 ",May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/21,$244.01 ,"$3,900.00 ","$3,639.35 ",,"$7,783.36 "
162617,,2124,,Match,Non_Exact,25,25,101102,2007,"$7,200.00 ","$3,603.78 ","$2,800.00 ","$10,803.78 ",April-20; May-20; June-20,9/6/21,,"$7,800.00 ","$7,200.00 ",,"$15,000.00 "
162618,,2124,,Match,Exact,25,25,100500,5008,"$13,200.00 ","$2,850.00 ","$3,334.62 ","$16,050.00 ",March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/27/21,,,"$14,450.00 ",,"$14,450.00 "
162619,,2125,,Match,Non_Exact,25,25,91600,1004,"$4,600.00 ","$4,120.00 ","$4,024.00 ","$8,720.00 ",June-21; July-21; August-21; September-21; October-21; November-21,9/11/21,"$1,500.00 ","$6,900.00 ","$5,700.00 ",,"$14,100.00 "
162620,,2118,,Match,Non_Exact,25,25,81800,2002,"$15,000.00 ",$0.00 ,"$2,160.00 ","$15,000.00 ",May-20; June-20; July-20; August-20; September-20; October-20; November-20; January-21; March-21; April-21; May-21; June-21,,,$0.00 ,"$15,000.00 ",,"$15,000.00 "
